,X,Y
S1,184386.505,2471565.585
S2,184303.371,2471529.027
S3,184238.212,2471683.095
S4,184250.113,2471790.700
S5,184338.305,2471670.368
,,
,,
ÂI1,184355.917,2471640.150
ÂI2,184363.290,2471637.151
